StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q79,Q149,Q148,Q89,Q91,Q93,Q95,Q97,Q97_4_TEXT,Q99,Q99_5_TEXT,Q101,Q101_5_TEXT,Q103,Q103_2_TEXT,Q87,Q153,Q85,Q85_1_TEXT,Q85_2_TEXT,Q85_3_TEXT,Q85_4_TEXT,Q107,Q109,Q111,Q113,Q115,Q117,Q119,Q121,Q123,Q125,Q127,Q129,Q131,Q135,Q137,Q139,Q141,Q143,Q145,Q147,Q149,Q151,Q153,Q155,Q157,Q159,Q161,Q163,Q165,Q167,Q169,Q171,Q173,Q177,Q179,Q181,Q183,Q185,Q187,Q189,Q191,Q193,Q195,Q197,Q199,Q201,Q203
2021-05-01 09:25:04,2021-05-01 16:35:10,IP Address,19,25806,False,2021-05-03 16:35:11,R_6zd3UXL32GAzaql,anonymous,EN,Agree,,Fourth year,35-40 years old,"5'6""-5'9""",150-175 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03 07:27:48,2021-05-03 18:32:53,IP Address,100,39904,True,2021-05-03 18:32:54,R_3hbUJeSzf2xA595,anonymous,EN,Agree,,Fourth year,Under 25 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",re,06,tw,gr,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,4= Almost always,4= Almost always,2= Sometimes,4= Almost always,1= Almost never,3= Often,4= Almost always,2= Sometimes,3= Often,3= Often,2= Sometimes,3= Often,3= Often,4= Almost always,2= Sometimes,3= Often,3= Often,2= Sometimes,4= Almost always,1= Almost never,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,2
2021-05-02 13:18:25,2021-05-04 10:28:36,IP Address,19,162611,False,2021-05-06 10:28:38,R_3hiEAJd6eZYCDnB,anonymous,EN,Agree,,Third year,30-35 years old,"5'0""-5'3""",125-150 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,Other:,korean,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-07 11:57:14,2021-05-07 12:01:29,IP Address,100,255,True,2021-05-07 12:01:29,R_294FCfwnveR86GN,anonymous,EN,Agree,,Fourth year,25-30 years old,"6'0""-6'3""",150-175 lbs,Male,Male,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Le,09,24,Bl,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,3= Often,3= Often,4= Almost always,3= Often,2= Sometimes,2= Sometimes,3= Often,1= Almost never,3= Often,3= Often,2= Sometimes,3= Often,3= Often,2= Sometimes,2= Sometimes,3= Often,4= Almost always,3= Often,3= Often,3= Often,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,2
2021-05-08 15:02:07,2021-05-08 15:07:04,IP Address,100,297,True,2021-05-08 15:07:05,R_1Q6NrnpkFIkv6ly,anonymous,EN,Agree,,Third year,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",RO,11,19,BR,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,3= Often,4= Almost always,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-08 15:25:11,2021-05-08 15:34:58,IP Address,100,587,True,2021-05-08 15:34:58,R_3iqk3RjjJQduw8Y,anonymous,EN,Agree,,Third year,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",AN,06,62,BL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,3= Often,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,3= Often,1= Almost never,2= Sometimes,4= Almost always,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,3= Often,3= Often,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-10 10:30:20,2021-05-10 10:36:47,IP Address,100,387,True,2021-05-10 10:36:47,R_RqwUj29ZToERZyF,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",CO,06,VE,BR,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,4= Almost always,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,4,2,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2
2021-05-10 12:56:02,2021-05-10 12:59:06,IP Address,100,183,True,2021-05-10 12:59:07,R_27HJkDWMt9E4XFM,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'9""-6'0""",150-175 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",JO,05,75,GR,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,4= Almost always,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,4= Almost always,1= Almost never,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,4= Almost always,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,1= Almost never,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-10 08:34:22,2021-05-10 08:37:03,IP Address,43,160,False,2021-05-12 08:37:06,R_3qsuROrwn5qlQ2d,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",An,12,La,Br,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:11:54,2021-05-12 10:11:54,Spam,100,0,True,2021-05-12 10:11:54,R_8AHwXXYQIejJJUB,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:15:07,2021-05-12 10:15:07,Spam,100,0,True,2021-05-12 10:15:08,R_22RKLCOTEDxpUjf,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:19:10,2021-05-12 10:19:10,Spam,100,0,True,2021-05-12 10:19:11,R_3lt1y4BBIPZ38C3,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:23:38,2021-05-12 10:23:38,Spam,100,0,True,2021-05-12 10:23:38,R_26nIr11E8HeUP3a,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:12:01,2021-05-12 10:24:00,IP Address,100,719,True,2021-05-12 10:24:01,R_2qz8VobmocOwEeU,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,Hispanic/Latinx,,Other:,Spanish,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",HI,04,x,br,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,4= Almost always,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,3= Often,2= Sometimes,1= Almost never,3= Often,1= Almost never,2= Sometimes,3= Often,3= Often,1= Almost never,4= Almost always,1= Almost never,1= Almost never,4= Almost always,1= Almost never,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 10:21:18,2021-05-12 10:26:36,IP Address,100,318,True,2021-05-12 10:26:37,R_3Eu8dThNbeh2ymt,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",LI,05,LA,BL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Moderately characteristic or true of me,2,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,2
2021-05-12 10:34:41,2021-05-12 10:34:41,Spam,100,0,True,2021-05-12 10:34:42,R_3jc8DOnutrLAHF6,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12 10:30:31,2021-05-12 10:37:33,IP Address,100,421,True,2021-05-12 10:37:34,R_agVcf5OOp66n0OJ,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'0""-5'3""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",BA,04,33,BL,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,3= Often,2= Sometimes,3= Often,2= Sometimes,1= Almost never,3= Often,3= Often,2= Sometimes,1= Almost never,3= Often,1= Almost never,1= Almost never,4= Almost always,4= Almost always,2= Sometimes,3= Often,1= Almost never,1= Almost never,4= Almost always,1= Almost never,2,2,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 10:57:50,2021-05-12 11:03:07,IP Address,100,317,True,2021-05-12 11:03:08,R_bOW0W43Ke9NzymZ,anonymous,EN,Agree,,Fourth year,25-30 years old,"6'0""-6'3""",175-200 lbs,Male,Male,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",ai,11,21,br,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,2= Sometimes,4= Almost always,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2,2,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 10:09:52,2021-05-12 11:09:21,IP Address,100,3568,True,2021-05-12 11:09:21,R_PRp14Lr21hhjAlP,anonymous,EN,Agree,,Fourth year,30-35 years old,"5'0""-5'3""",125-150 lbs,Female,Other:,non-binary,Homosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",MI,06,RI,BR,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,2= Sometimes,2= Sometimes,1= Almost never,1= Almost never,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,1= Almost never,1= Almost never,3= Often,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 15:23:29,2021-05-12 15:44:25,IP Address,100,1256,True,2021-05-12 15:44:26,R_2eX9TDoery9XEcc,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'9""-6'0""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,10,GR,HA,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,4= Almost always,2= Sometimes,4= Almost always,1= Almost never,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,1= Almost never,2= Sometimes,3= Often,2= Sometimes,1= Almost never,3= Often,1= Almost never,2= Sometimes,4= Almost always,2= Sometimes,1= Not at all characteristic or true of me,2,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 17:07:22,2021-05-12 17:11:37,IP Address,100,254,True,2021-05-12 17:11:37,R_2zP8teg8RIz2GhS,anonymous,EN,Agree,,Third year,30-35 years old,"6'0""-6'3""",175-200 lbs,Female,Female,,Queer,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Je,11,Wi,Bl,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,3= Often,3= Often,1= Almost never,3= Often,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,2= Sometimes,4= Almost always,1= Almost never,3= Often,4= Almost always,2= Sometimes,2= Sometimes,2= Sometimes,4= Almost always,3= Often,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,4,3= Moderately characteristic or true of me,5= Extremely characteristic or true of me,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,5= Extremely characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,5= Extremely characteristic or true of me
2021-05-12 23:37:59,2021-05-12 23:46:32,IP Address,100,512,True,2021-05-12 23:46:32,R_2D80B9kE6m4m1wr,anonymous,EN,Agree,,Fourth year,30-35 years old,"5'3""-5'6""",100-125 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,Other:,Chinese,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,05,X,Br,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,3= Often,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,2
2021-05-12 14:58:21,2021-05-13 13:54:19,IP Address,100,82557,True,2021-05-13 13:54:19,R_1eKtJiTivuz8dWw,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",100-125 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Le,09,44,br,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,3= Often,1= Almost never,3= Often,1= Almost never,1= Almost never,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,1= Almost never,2= Sometimes,4= Almost always,3= Often,1= Almost never,4= Almost always,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,2,2,2,2,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-12 23:19:54,2021-05-12 23:20:37,IP Address,3,43,False,2021-05-14 23:20:43,R_3FXSg9mIt4bAFuE,anonymous,EN,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15 13:53:36,2021-05-15 14:08:52,IP Address,100,916,True,2021-05-15 14:08:53,R_240Z3zFqqDLiNMt,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'9""-6'0""",125-150 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",Ka,02,La,Br,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,3= Often,3= Often,3= Often,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,3= Often,3= Often,3= Often,3= Often,3= Moderately characteristic or true of me,2,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,4,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me,2,3= Moderately characteristic or true of me
2021-05-17 08:40:39,2021-05-17 08:44:56,IP Address,100,257,True,2021-05-17 08:44:57,R_U9OfiaR032OQf4Z,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'9""-6'0""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",AL,01,OL,BL,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,3= Often,3= Often,3= Often,3= Often,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,3= Often,3= Often,1= Almost never,2= Sometimes,3= Often,2= Sometimes,3= Often,3= Often,1= Almost never,1= Almost never,4= Almost always,1= Almost never,2,1= Not at all characteristic or true of me,2,2,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-18 10:17:30,2021-05-18 10:21:37,IP Address,100,247,True,2021-05-18 10:21:37,R_1LjQSO0VnMY4uVW,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",An,12,La,Br,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,2= Sometimes,1= Almost never,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,3= Often,2= Sometimes,3= Often,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,2= Sometimes,3= Often,3= Often,4= Almost always,3= Often,3= Often,3= Moderately characteristic or true of me,2,2,4,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2
2021-05-24 15:47:05,2021-05-24 15:51:49,IP Address,100,284,True,2021-05-24 15:51:50,R_w1PRYBB2B8qRbJD,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'9""-6'0""",150-175 lbs,Male,Male,,Heterosexual,,White/Caucasian,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",ba,11,an,br,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,4= Almost always,2= Sometimes,3= Often,2= Sometimes,1= Almost never,2= Sometimes,2= Sometimes,2= Sometimes,1= Almost never,4= Almost always,2= Sometimes,1= Almost never,3= Often,2= Sometimes,2= Sometimes,3= Often,1= Almost never,3= Often,4= Almost always,3= Often,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,2,2,1= Not at all characteristic or true of me,2,1= Not at all characteristic or true of me,3= Moderately characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me,1= Not at all characteristic or true of me
2021-05-25 06:07:56,2021-05-25 06:07:56,Spam,100,0,True,2021-05-25 06:07:57,R_O3i3ysvUNxB4Eet,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-31 11:45:58,2021-08-31 14:50:14,IP Address,21,11055,False,2021-09-02 14:50:14,R_b8h1VdMKTApGYNz,anonymous,EN,Agree,,Fourth year,25-30 years old,"5'3""-5'6""",125-150 lbs,Female,Female,,Heterosexual,,Asian/Asian American,,English,,Yes,,"FIRST TWO letters of your mothers' middle name (if none put X),Your birth month in numbers (For example: March= 03),FIRST TWO characters of the street name you lived on when you entered high school (if you do not remember, put X),FIRST TWO letters of your eye color",X,04,14,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22 11:00:01,2022-03-22 11:00:35,Survey Preview,100,33,True,2022-03-22 11:00:36,R_24HJPxNEMEVHnbH,preview,EN,Agree,Yes,Third year,30-35 years old,"5'3""-5'6""",200-225 lbs,Male,Female,,Bisexual,,White/Caucasian,,English,,Yes,Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22 11:30:15,2022-03-22 11:30:40,Survey Preview,100,24,True,2022-03-22 11:30:40,R_2VR4s2x0R8PUi7G,preview,EN,Agree,Yes,Fourth year,Under 25 years old,"5'6""-5'9""",125-150 lbs,Female,Female,,Queer,,White/Caucasian,,English,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22 11:34:50,2022-03-22 11:35:16,Survey Preview,100,25,True,2022-03-22 11:35:17,R_RypYszmYD0Xhc5z,preview,EN,Agree,Yes,Fourth year,30-35 years old,"5'3""-5'6""",150-175 lbs,Female,Female,,Homosexual,,Hispanic/Latinx,,English,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
